,UC1_std,UC2_std,UC1_recommendations,UC2_recommendations
Adidas Running,0.0,0.0,1,1
Endomondo,0.816496580927726,1.4181364924121764,10,10
Fitbit,0.8366600265340756,1.1126972805283737,6,7
Garmin Connect,1.0327955589886446,1.1547005383792517,6,3
Google Fit,0.752772652709081,1.6183471874253743,6,7
Map My Run,0.48304589153964794,0.8432740427115678,10,10
MyFitnessPal,2.0976176963403033,2.9059326290271157,6,9
Nike Run Club,0.0,0.6749485577105528,10,10
Pacer Pedometer,1.0606601717798212,0.9574271077563381,8,4
Pumatrac,0.0,0.0,0,1
Runkeeper,1.1005049346146119,1.6499158227686108,10,10
Runtastic,1.3984117975602022,1.6193277068654823,10,10
Samsung Health,0.5773502691896257,0.0,3,2
Sports Tracker,0.0,0.0,1,0
Strava,0.0,0.0,10,10
Under Armour Record,0.0,1.5275252316519468,1,3
"Zombies, Run!",0.0,0.0,1,1
Zwift,0.0,2.1213203435596424,1,2
