,jaccard_similarity,overlap_coefficient,cosine_similarity,spearman_correlation,kendall_correlation
Adidas Running,0.0,0,0.0,,
Endomondo,1.0,1.0,0.9817369664346797,,
Fitbit,0.0,0,0.0,,
Garmin Connect,0.0,0,0.0,,
Google Fit,0.4,1.0,0.6317636935053222,,
Komoot,0.0,0,0.0,,
Map My Run,1.0,1.0,0.9532306376993182,,
MyFitnessPal,0.8,1.0,0.8023687558959136,,
Nike Run Club,1.0,1.0,0.9686577684303294,,
Pacer,0.0,0,0.0,,
Pacer Pedometer & Step Tracker,0.0,0,0.0,,
Polar Flow,0.0,0,0.0,,
Pumatrac,0.0,0,0.0,,
Runkeeper,1.0,1.0,0.9183996645933803,,
Runtastic,1.0,1.0,0.9706602710329612,,
Samsung Health,0.2,1.0,0.44447831849231534,,
Sports Tracker,0.0,0,0.0,,
Strava,1.0,1.0,0.9647638212377321,,
Under Armour Record,0.0,0,0.0,,
"Zombies, Run!",0.0,0,0.0,,
Zwift,0.0,0,0.0,,
AGGREGATED,0.5873015873015873,0.74,0.47870129870129874,0.7071428571428571,0.616031746031746
