input_folder,feature_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20,apps_k1,apps_k2,apps_k3,apps_k4,apps_k5,apps_k6,apps_k7,apps_k8,apps_k9,apps_k10,apps_k11,apps_k12,apps_k13,apps_k14,apps_k15,apps_k16,apps_k17,apps_k18,apps_k19,apps_k20,total_apps,total_runs
k20_Broadcast_messages_to_multiple_contacts,"""Broadcast messages to multiple contacts""",0.4302297337493613,0.9925359580644773,0.0,0.3333333333333333,0.3333333333333333,0.4722222222222221,1.1666666666666663,1.4166666666666663,1.6592592592592592,1.812121212121212,2.0444444444444443,2.553846153846154,2.6750000000000003,3.0133333333333336,3.344444444444445,3.36140350877193,3.4842105263157896,3.6641666666666666,4.473015873015872,4.938405797101449,5.320833333333333,5.481333333333334,4,8,12,14,15,19,21,22,22,23,25,28,30,33,37,39,41,44,45,47,47,6
k20_Send_files,"""Send files""",0.7207694294741324,0.9936950934615224,0.0,0.125,0.5138888888888888,0.7619047619047619,0.6513605442176871,0.8888888888888887,0.9372222222222222,1.0518518518518518,1.437301587301587,1.801388888888889,1.9160493827160487,2.326851851851852,2.320436507936508,2.6019841269841266,2.745726495726496,2.92906746031746,3.147222222222222,3.5980902777777777,3.774410774410775,3.794920634920635,2,4,4,5,10,14,18,23,26,29,33,37,40,40,44,49,50,51,55,58,58,10
k20_Watch_streams,"""Watch streams""",0.6680940044310382,0.96489223308317,0.0,0.0,0.0,0.09375,0.2583333333333333,0.5961538461538461,0.6833333333333333,0.9625,1.0833333333333337,1.0933333333333335,1.1737179487179488,1.337037037037037,1.515432098765432,1.8339285714285711,1.9126436781609195,2.2015625,2.240909090909091,2.283809523809524,3.380952380952381,3.784371184371184,1,4,10,15,19,23,29,31,34,38,40,44,49,52,57,60,64,67,69,71,71,10
k20_Go_Live,"""Go Live""",0.7855472830567212,0.938700478579698,0.0,0.4523809523809523,0.4126984126984126,0.5833333333333333,0.5714285714285714,0.4761904761904761,0.6654761904761904,0.5748917748917749,0.6936507936507935,0.73003663003663,0.933843537414966,1.2587797619047618,1.4205513784461152,1.5154195011337868,2.1384920634920634,2.4547619047619045,2.7020408163265306,2.9623152709359606,3.236349206349206,3.572811059907834,2,3,5,5,6,11,13,18,21,27,31,33,36,39,42,45,48,50,52,55,55,8
k20_Play_playlist_on_shuffle_mode,"""Play playlist on shuffle mode""",0.3739498186461623,0.9876991557722048,0.0,0.0,0.2799999999999999,0.2333333333333333,0.6285714285714287,1.0450000000000002,1.3590909090909091,1.965625,2.2342105263157896,2.2342105263157896,2.4863636363636363,2.695833333333333,2.695833333333333,2.9625,3.28,3.616666666666666,3.678899835796387,3.66343005952381,3.820815295815296,4.439502164502165,2,6,8,14,20,23,28,30,34,38,43,49,58,64,68,72,76,80,84,87,87,9
k20_Access_to_podcasts,"""Access to podcasts""",0.7481588458726275,0.907194072927454,0.0,0.0625,0.35,1.0157142857142858,1.5452380952380953,1.398148148148148,1.5464285714285713,1.342948717948718,1.389102564102564,1.7725340136054422,2.174404761904762,2.206372549019608,2.2851503759398497,2.37,2.435714285714286,2.417753623188406,2.2576666666666667,2.1949404761904763,2.3311507936507936,2.6255252100840334,2,4,5,7,8,11,12,14,14,16,18,21,22,24,28,31,37,41,46,47,47,9
k20_Build_photo_collage,"""Build photo collage""",0.447593367218371,0.9896776048704192,0.0,0.1,0.2799999999999999,0.5194805194805195,0.8853174603174603,1.194139194139194,1.268707482993197,1.509920634920635,1.730812324929972,1.5711904761904762,1.6519274376417232,2.000992063492064,2.149029982363316,2.1835637480798766,2.5938375350140057,2.8558390022675737,2.8546224796224795,2.9636958386958385,3.4426211926211927,3.7738309738309743,3,7,10,15,18,23,25,30,32,39,44,47,48,51,53,56,59,63,66,67,67,10
k20_Photo_effects,"""Photo effects""",0.5703676573963834,0.973270250262118,0.0,0.2916666666666667,0.6145833333333334,0.9047619047619048,1.1885416666666666,1.5824074074074077,1.28640873015873,1.7515567765567766,1.89514652014652,1.964880952380952,2.0910714285714285,2.395588235294117,2.3652255639097746,2.3322380952380954,2.406142857142857,2.3997207524985305,2.7416119321291736,3.091346646185356,3.593514384920635,3.6219771241830063,5,8,9,11,11,15,19,23,28,32,38,42,48,49,54,59,64,69,72,74,74,10
k20_Access_to_movies,"""Access to movies""",0.8794806855488484,0.9430652194136304,0.0,0.0,0.074074074074074,0.1111111111111111,0.7777777777777778,0.6984126984126985,0.251984126984127,0.6463888888888889,0.6613247863247863,0.6889172335600906,0.6945767195767195,1.009796626984127,0.969607843137255,0.9920238095238096,1.0003246753246755,1.0836309523809524,1.1514991181657848,1.2641269841269842,1.3959293394777266,1.591889880952381,2,4,5,6,8,10,12,14,17,20,22,25,29,34,38,44,49,52,58,63,63,10
k20_Rate_movies,"""Rate movies""",0.707006530721439,0.9888541907735556,0.0,0.3333333333333333,0.2222222222222222,0.2986111111111111,0.725,0.7987654320987656,0.8937950937950937,1.3452991452991452,1.4472222222222222,1.681372549019608,1.7777777777777777,1.7975,2.096031746031746,2.3238095238095235,2.205555555555556,2.5006410256410256,2.623850574712644,2.6760044642857146,2.6568977591036416,2.936748120300752,2,2,5,8,11,13,16,18,20,22,25,29,33,38,42,44,47,51,55,58,58,10
k20_Keeping_up_with_friends,"""Keeping up with friends""",0.5916854919018418,0.991866129632798,0.0,0.25,0.8125,0.7023809523809524,1.171875,1.0972222222222223,1.4660714285714285,1.7046703296703296,1.6543367346938775,2.0922619047619047,2.1356516290726817,2.9852092352092345,3.138293650793651,3.506746031746032,3.74981684981685,4.21968537414966,4.075039682539683,4.484984639016897,4.695562770562771,4.940656565656567,3,6,8,11,12,16,22,27,34,36,38,40,42,45,49,51,54,57,59,63,63,10
k20_Play_games,"""Play games""",0.0137207906753072,0.9915186087052712,0.0,0.3,0.6428571428571429,0.7666666666666666,1.1694444444444445,1.258974358974359,1.3244444444444443,1.6499999999999997,1.6916666666666664,2.1113636363636363,2.497727272727273,2.548,2.6066666666666665,2.9875,3.257575757575758,3.552777777777778,3.882661782661783,4.520092915214867,4.68718820861678,5.022674418604652,6,13,19,22,26,31,36,38,46,50,55,57,61,66,72,75,79,79,83,84,84,10
k20_Collaborate_with_others,"""Collaborate with others""",0.7685125451045994,0.979584609769658,0.0,0.2222222222222222,0.1111111111111111,0.1288888888888889,0.2020502645502645,0.5416666666666667,0.7983333333333332,0.9916666666666666,0.960515873015873,1.013919413919414,1.0784013605442178,1.427037037037037,1.622989417989418,1.8345734126984128,1.7172398589065256,1.7253968253968257,1.9774603174603176,2.094271911663216,2.1865740740740742,2.900574712643678,2,2,7,11,13,15,17,20,21,22,26,26,26,28,32,36,41,45,50,53,53,10
k20_Write_notes,"""Write notes""",0.837013315318159,0.936981774763756,0.0,0.2,0.3174603174603174,0.5714285714285714,0.481859410430839,0.6187996031746031,0.7673611111111112,1.1456790123456788,1.7166666666666668,1.4083333333333334,1.4702380952380951,1.3364583333333333,1.5333333333333332,1.6071428571428572,1.6386724386724387,1.7014219576719576,1.6594944150499709,1.6990695128626163,1.852281746031746,2.077028218694885,3,5,6,6,8,9,10,11,12,15,18,21,21,24,27,31,36,40,41,44,44,10
k20_Search_for_offer_on_item,"""Search for offer on item""",0.526533605434775,0.9926687846272996,0.0,0.375,0.6880952380952381,1.107482993197279,1.153125,1.7494268077601411,2.0646825396825395,1.8484410430839,1.9841005291005287,2.3786181139122315,2.721825396825397,2.8928916494133885,3.16431746031746,3.438766788766789,3.661202686202686,3.992181069958848,4.589866780045351,4.359126984126984,4.540309779825909,4.713191438191438,5,8,11,13,14,17,22,24,29,33,38,42,47,52,55,57,60,62,68,72,72,10
k20_List_items_for_sale,"""List items for sale""",0.7775974688819046,0.9821844576824901,0.0,0.0,0.0,0.10416666666666667,0.5464285714285714,0.9160997732426303,0.8757142857142857,0.9362554112554112,0.9249149659863946,0.8418067226890757,1.1278011204481793,1.3470899470899473,1.3178571428571428,1.463032581453634,1.6026077097505669,1.8106962481962479,2.0038029100529102,2.0368900646678423,2.1523399014778324,2.42281746031746,1,2,4,8,8,11,11,14,17,19,19,21,25,29,32,36,40,43,47,48,48,10
