feature_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20,apps_k1,apps_k2,apps_k3,apps_k4,apps_k5,apps_k6,apps_k7,apps_k8,apps_k9,apps_k10,apps_k11,apps_k12,apps_k13,apps_k14,apps_k15,apps_k16,apps_k17,apps_k18,apps_k19,apps_k20,total_apps,total_runs,input_folder
"""Broadcast messages to multiple contacts""",0.9850580696987944,0.781926039554346,0.0,0.0,0.2777777777777778,0.4317460317460317,0.5407407407407407,0.611111111111111,0.6716269841269842,0.6388888888888888,0.6111111111111112,0.6256613756613757,0.5600907029478458,0.5805291005291006,0.6734871031746031,0.7215686274509804,0.7185185185185184,0.7157894736842104,0.7133333333333333,0.711111111111111,0.709090909090909,0.7072463768115942,1,3,4,5,6,8,9,10,11,12,15,15,16,17,18,19,20,21,22,26,26,10,k20_Broadcast_messages_to_multiple_contacts
"""Send files""",0.842191271911035,0.9699874552177196,0.0,0.0,0.0,0.0,0.1777777777777777,0.2962962962962963,0.4444444444444443,0.7752525252525253,0.9212962962962964,1.0128205128205128,1.097222222222222,1.2653439153439152,1.300843253968254,1.3493230625583568,1.3526014109347442,1.3394841269841269,1.427128427128427,1.4274140211640212,1.9576312576312576,2.273030045351474,2,4,6,7,8,9,13,14,15,16,17,19,22,24,28,31,33,35,36,37,37,10,k20_Send_files
"""Watch streams""",0.7797152186142177,0.9716869423285122,0.0,0.0,0.1458333333333333,0.2023809523809523,0.3829365079365079,0.3818027210884354,0.4461309523809523,0.4441798941798942,0.7770562770562772,1.197804232804233,1.173716153127918,1.8360229276895943,1.6978571428571427,1.88198051948052,2.0217261904761905,2.519597069597069,3.083087027914614,2.9704433497536944,3.5654761904761902,3.644957983193277,1,5,8,11,13,17,19,22,23,25,27,30,32,34,36,37,38,41,43,45,45,10,k20_Watch_streams
"""Go Live""",0.8804351081267986,0.9843732396715484,0.0,0.0,0.1111111111111111,0.4444444444444444,0.2962962962962963,0.3055555555555555,0.4623015873015872,0.6085858585858586,0.7471916971916972,0.692010582010582,0.8623809523809524,0.9607142857142856,0.915032679738562,1.1783625730994152,1.4444444444444444,1.5613888888888887,1.5948412698412695,1.6465419501133784,1.965638528138528,1.9227053140096613,1,3,4,4,7,9,10,12,13,15,15,15,18,19,21,21,21,22,23,24,24,10,k20_Go_Live
"""Play playlist on shuffle mode""",0.9975554101223376,0.8001504355973539,0.0,0.0,0.0,0.0,0.0888888888888888,0.074074074074074,0.0634920634920634,0.0555555555555555,0.0493827160493827,0.0444444444444444,0.0404040404040404,0.037037037037037,0.0317460317460317,0.0952380952380952,0.0888888888888888,0.0784313725490196,0.074074074074074,0.1169590643274853,0.1432748538011695,0.1534391534391534,1,2,3,5,5,6,7,8,9,10,11,12,14,14,15,17,18,19,22,24,24,10,k20_Play_playlist_on_shuffle_mode
"""Access to podcasts""",0.9760153445358876,0.9386665203343064,0.0,0.0,0.0,0.0,0.074074074074074,0.1269841269841269,0.1666666666666666,0.1975308641975308,0.2222222222222222,0.2424242424242424,0.2828282828282829,0.2800925925925926,0.2777777777777778,0.2757936507936508,0.2740740740740741,0.3468720821661998,0.3893298059964726,0.4273182957393484,0.5267857142857142,0.7478354978354976,1,2,3,5,6,7,8,9,10,11,13,15,17,19,21,22,23,24,24,24,24,10,k20_Access_to_podcasts
"""Build photo collage""",0.9316212077060716,0.9400130013216036,0.0,0.1111111111111111,0.074074074074074,0.0833333333333333,0.0666666666666666,0.0476190476190476,0.0416666666666666,0.1666666666666666,0.1790123456790123,0.2806637806637806,0.4872685185185185,0.4899140211640211,0.4199263038548752,0.6609477124183006,0.6489197530864197,0.8790277777777777,1.0570833333333334,1.2018849206349207,1.2745842781557069,1.3220959595959596,2,2,4,5,6,8,10,12,15,16,16,16,20,21,22,22,24,25,25,26,26,10,k20_Build_photo_collage
"""Photo effects""",0.92581599049084,0.8997798693196655,0.0,0.0,0.3888888888888888,0.4333333333333333,0.4722222222222221,0.4404761904761904,0.4513888888888888,0.6666666666666665,0.6916666666666665,0.6666666666666665,0.6782407407407406,0.5870370370370369,0.6759259259259257,0.6776377217553687,0.677689594356261,0.7424812030075187,0.8114035087719299,1.3305555555555555,1.1958333333333333,1.1574074074074074,1,3,4,6,7,8,9,10,12,13,14,17,18,19,20,21,22,23,24,25,25,10,k20_Photo_effects
"""Access to movies""",0.999092102816668,0.6937237766750929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617283950617284,0.0818713450292397,0.1,0.1164021164021164,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,22,10,k20_Access_to_movies
"""Rate movies""",0.8917342460482971,0.903148323325542,0.0,0.0,0.0416666666666666,0.0666666666666666,0.1904761904761904,0.2037037037037037,0.2121212121212121,0.4880952380952381,0.5444444444444444,0.480392156862745,0.4298245614035087,0.4083333333333334,0.3712121212121211,0.3659420289855072,0.5813333333333334,0.6307692307692307,0.8577160493827161,1.1723214285714287,1.3172003284072251,1.3952248677248678,1,3,5,9,10,12,14,15,16,18,20,21,23,25,28,30,31,32,33,35,35,10,k20_Rate_movies
