model1,model2,rbo_mean,rbo_std,n_features
anthropic,mistral,0.5701226241762202,0.24371942838102323,99
deepseekr1_8b,anthropic,0.42766674633905494,0.217621725449935,99
deepseekr1_8b,gemini,0.3820647525172837,0.19815126315292314,99
deepseekr1_8b,mistral,0.4187079944350313,0.22274094740000905,99
deepseekr1_8b,openai,0.44982145475033153,0.19518070623932882,99
gemini,anthropic,0.5740160280622887,0.19296336696537833,99
gemini,mistral,0.5087825794892195,0.2169030939850852,99
gemma3_4b,anthropic,0.41483279560235864,0.25047818166889824,99
gemma3_4b,deepseekr1_8b,0.3430211908461956,0.21678657732674012,99
gemma3_4b,gemini,0.3826873462064904,0.237023223437623,99
gemma3_4b,gptoss20b,0.39417423031255133,0.22591138289736395,99
gemma3_4b,mistral,0.4016978099222713,0.23790417847177625,99
gemma3_4b,mistral_open,0.3243598888953583,0.2219138575214501,91
gemma3_4b,openai,0.41404704786710106,0.238665490748947,99
gemma3_4b,qwen3_8b,0.37114214628850406,0.22042819622998874,99
gptoss20b,anthropic,0.5233357727364525,0.21585211712972158,99
gptoss20b,deepseekr1_8b,0.44481097263221747,0.1900840011920653,99
gptoss20b,gemini,0.48756108754998567,0.1895095445155771,99
gptoss20b,mistral,0.5205464118808989,0.21486265543744879,99
gptoss20b,mistral_open,0.41062725850884524,0.20187253807770253,91
gptoss20b,openai,0.5303713724682346,0.191887595060101,99
llama31_8b,anthropic,0.3646267039881822,0.23043135349956725,99
llama31_8b,deepseekr1_8b,0.345839159052862,0.19477958143911908,99
llama31_8b,gemini,0.322524665684195,0.21815682456834307,99
llama31_8b,gemma3_4b,0.3219144421710453,0.22116570652915005,99
llama31_8b,gptoss20b,0.3622778531709007,0.21997094958460867,99
llama31_8b,mistral,0.3787356668349063,0.23789191020278655,99
llama31_8b,mistral_open,0.35146786518430384,0.2308881985392705,91
llama31_8b,openai,0.3664217458278103,0.21925947403929028,99
llama31_8b,qwen3_8b,0.35344749436432377,0.20310209386465272,99
mistral_open,anthropic,0.43122377204245166,0.21763223620913408,91
mistral_open,deepseekr1_8b,0.39703177486927976,0.19941424868001056,91
mistral_open,gemini,0.3830954739507432,0.21084387283537975,91
mistral_open,mistral,0.4459240069190371,0.2211382536990469,91
mistral_open,openai,0.42187980622868754,0.19601399380735676,91
openai,anthropic,0.6022168706903909,0.20987561017013467,99
openai,gemini,0.5739351557261172,0.19566382725597398,99
openai,mistral,0.5578919568124683,0.21423339938427374,99
qwen3_8b,anthropic,0.43509163249511057,0.20809940931560394,99
qwen3_8b,deepseekr1_8b,0.48679716307659016,0.17310533715238582,99
qwen3_8b,gemini,0.40223647455477846,0.20411479973061883,99
qwen3_8b,gptoss20b,0.4521302363065424,0.1942849584290445,99
qwen3_8b,mistral,0.4275309978027264,0.2252964827715698,99
qwen3_8b,mistral_open,0.3972401858354005,0.21217132152872917,91
qwen3_8b,openai,0.45088815397334586,0.20015499957335617,99
