model1,model2,rbo_mean,rbo_std,n_features
gemma3_4b,deepseekr1_8b,0.3430211908461956,0.21678657732674006,99
gemma3_4b,gptoss20b,0.3941742303125514,0.22591138289736395,99
gemma3_4b,mistral_open,0.3243598888953583,0.22191385752145004,91
gemma3_4b,qwen3_8b,0.37114214628850406,0.22042819622998877,99
gptoss20b,deepseekr1_8b,0.44481097263221747,0.1900840011920653,99
gptoss20b,mistral_open,0.41062725850884524,0.20187253807770256,91
llama31_8b,deepseekr1_8b,0.345839159052862,0.19477958143911914,99
llama31_8b,gemma3_4b,0.3219144421710453,0.22116570652915002,99
llama31_8b,gptoss20b,0.3622778531709007,0.21997094958460867,99
llama31_8b,mistral_open,0.35146786518430384,0.23088819853927056,91
llama31_8b,qwen3_8b,0.35344749436432377,0.20310209386465272,99
mistral_open,deepseekr1_8b,0.39703177486927976,0.19941424868001056,91
qwen3_8b,deepseekr1_8b,0.4867971630765902,0.17310533715238582,99
qwen3_8b,gptoss20b,0.4521302363065424,0.19428495842904442,99
qwen3_8b,mistral_open,0.3972401858354005,0.21217132152872914,91
