model1,model2,rbo_mean,rbo_std,n_features
gemma3_4b,deepseekr1_8b,0.4183098570468754,0.22581585430751003,16
gemma3_4b,gptoss20b,0.4538335309504544,0.24107888616942777,16
gemma3_4b,mistral_open,0.38273409336638403,0.22845652053760335,13
gemma3_4b,qwen3_8b,0.46928863543934335,0.18922715702979556,16
gptoss20b,deepseekr1_8b,0.5054993925340937,0.2148482250190208,16
gptoss20b,mistral_open,0.4932744812551304,0.22745604831035687,13
llama31_8b,deepseekr1_8b,0.3655270053875886,0.19750056025523913,16
llama31_8b,gemma3_4b,0.35899018615641354,0.2005054920859255,16
llama31_8b,gptoss20b,0.37201332692572664,0.2267664597967806,16
llama31_8b,mistral_open,0.37617890703041607,0.2482333761595469,13
llama31_8b,qwen3_8b,0.39390099972724546,0.18712593090903637,16
mistral_open,deepseekr1_8b,0.5043465465159778,0.1948134852678885,13
qwen3_8b,deepseekr1_8b,0.5220652711736973,0.15126654868792896,16
qwen3_8b,gptoss20b,0.5035580087800775,0.19028123780420592,16
qwen3_8b,mistral_open,0.4747578449512971,0.20249549975275016,13
