model,rbo_mean,rbo_std,n_features
anthropic,0.8794910177851645,0.08743299063857174,16
deepseekr1_8b,0.686107774893181,0.1428103205941627,16
gemini,0.7458208650163335,0.1609683044698362,16
gemma3_4b,0.6956602872348847,0.17365792255314633,16
gptoss20b,0.6002925853716341,0.19888995741692717,16
llama31_8b,0.5651991484378642,0.17001692931032833,16
mistral,0.8988557652156375,0.09543360054278811,16
mistral_open,0.6944434224642265,0.2269217850452931,11
openai,0.7689351856239092,0.12671966764677772,16
qwen3_8b,0.6487951173928319,0.11251494187782136,16
