,,jaccard
k3,Access to movies,0.2
k3,Access to podcasts,0.2
k3,Broadcast messages,0.2
k3,Build photo collage,0.5
k3,Collaborate with others,0.0
k3,Go Live,0.0
k3,Keeping up with friends,0.0
k3,List items for sale,0.2
k3,Photo effects,0.0
k3,Play games,0.0
k3,Play playlist on shuffle mode,0.2
k3,Rate movies,0.0
k3,Search for offer on item,0.0
k3,Send files,0.2
k3,Watch streams,0.0
k3,Write notes,0.0
k3,,
k3,AVERAGE,0.10625000000000001
k10,Access to movies,0.17647058823529413
k10,Access to podcasts,0.35714285714285715
k10,Broadcast messages,0.1111111111111111
k10,Build photo collage,0.3333333333333333
k10,Collaborate with others,0.05263157894736842
k10,Go Live,0.0
k10,Keeping up with friends,0.05263157894736842
k10,List items for sale,0.05263157894736842
k10,Photo effects,0.0
k10,Play games,0.0
k10,Play playlist on shuffle mode,0.17647058823529413
k10,Rate movies,0.0
k10,Search for offer on item,0.05263157894736842
k10,Send files,0.25
k10,Watch streams,0.1111111111111111
k10,Write notes,0.25
k10,,
k10,AVERAGE,0.12351036905990466
k20,Access to movies,0.08333333333333333
k20,Access to podcasts,0.2692307692307692
k20,Broadcast messages,0.2413793103448276
k20,Build photo collage,0.2903225806451613
k20,Collaborate with others,0.08108108108108109
k20,Go Live,0.02564102564102564
k20,Keeping up with friends,0.05263157894736842
k20,List items for sale,0.030303030303030304
k20,Photo effects,0.02631578947368421
k20,Play games,0.0
k20,Play playlist on shuffle mode,0.25
k20,Rate movies,0.02564102564102564
k20,Search for offer on item,0.03125
k20,Send files,0.1875
k20,Watch streams,0.18181818181818182
k20,Write notes,0.14285714285714285
k20,,
k20,AVERAGE,0.11995655308228947
