,,anthropic,gemini,mistral,openai,perplexity
k3,Access to movies,0.0,0.0,0.0,0.0,0.0
k3,Access to podcasts,0.5,0.3,0.5,0.5,0.32
k3,Broadcast messages,0.0,0.0,0.0,0.0,0.0
k3,Build photo collage,0.1,0.04,0.2,0.0,0.02
k3,Collaborate with others,0.2,0.2,0.2,0.2,0.2
k3,Go Live,0.2,0.21000000000000002,0.2,0.04,0.08
k3,Keeping up with friends,0.18,0.16,0.2,0.04,0.0
k3,List items for sale,0.2,0.08,0.0,0.12,0.47000000000000003
k3,Photo effects,0.0,0.0,0.0,0.02,0.0
k3,Play games,0.0,0.0,0.0,0.0,0.0
k3,Play playlist on shuffle mode,0.2,0.13999999999999999,0.2,0.2,0.13999999999999999
k3,Rate movies,0.0,0.0,0.0,0.13999999999999999,0.0
k3,Search for offer on item,0.0,0.0,0.0,0.0,0.0
k3,Send files,0.0,0.0,0.18,0.02,0.04
k3,Watch streams,0.0,0.0,0.0,0.0,0.0
k3,Write notes,0.16,0.16,0.2,0.18,0.14
k3,,,,,,
k3,AVERAGE,0.10875000000000001,0.080625,0.11750000000000001,0.09125,0.08812500000000001
k10,Access to movies,0.07017543859649122,0.2380718954248366,0.05263157894736842,0.17647058823529413,0.05263157894736842
k10,Access to podcasts,0.18382352941176472,0.18382352941176472,0.23529411764705882,0.25,0.22794117647058823
k10,Broadcast messages,0.0,0.0,0.0,0.0,0.0
k10,Build photo collage,0.21751805985552117,0.10275197798417612,0.1985294117647059,0.21405228758169934,0.06618507051943583
k10,Collaborate with others,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.12418300653594772
k10,Go Live,0.17647058823529413,0.08187134502923976,0.16993464052287582,0.05263157894736842,0.08771929824561402
k10,Keeping up with friends,0.07017543859649122,0.09484004127966976,0.0935672514619883,0.031578947368421054,0.05263157894736842
k10,List items for sale,0.17647058823529413,0.11833505331957343,0.11764705882352941,0.11111111111111112,0.11111111111111112
k10,Photo effects,0.05263157894736842,0.047368421052631574,0.05263157894736842,0.11111111111111112,0.042105263157894736
k10,Play games,0.0,0.0,0.0,0.0,0.0
k10,Play playlist on shuffle mode,0.3,0.11944444444444444,0.25,0.25,0.0763157894736842
k10,Rate movies,0.0,0.0,0.0,0.03684210526315789,0.0
k10,Search for offer on item,0.0,0.0,0.0,0.0,0.02631578947368421
k10,Send files,0.1985294117647059,0.18562091503267975,0.1568627450980392,0.18382352941176472,0.11248710010319918
k10,Watch streams,0.0,0.010526315789473684,0.0,0.11111111111111112,0.0
k10,Write notes,0.1772875816993464,0.2678571428571429,0.25,0.25,0.25
k10,,,,,,
k10,AVERAGE,0.10838708290333676,0.09760138704604648,0.10551309339525283,0.11811521757825938,0.07685167268661851
k20,Access to movies,0.12380952380952381,0.15966386554621848,0.11428571428571428,0.14285714285714285,0.129004329004329
k20,Access to podcasts,0.10527670527670527,0.16677701383583737,0.2205691367456073,0.173109243697479,0.12448532566179624
k20,Broadcast messages,0.06685633001422475,0.0,0.05832147937411094,0.002564102564102564,0.05263157894736842
k20,Build photo collage,0.13215758478916373,0.11145431145431144,0.17730455818691113,0.13968253968253969,0.07527252816726501
k20,Collaborate with others,0.0810810810810811,0.09609609609609611,0.069701280227596,0.11111111111111112,0.09609609609609611
k20,Go Live,0.15294117647058822,0.04723346828609986,0.11296393557422968,0.02834008097165992,0.04723346828609986
k20,Keeping up with friends,0.10244530244530245,0.1021021021021021,0.07254623044096728,0.07634088686720265,0.02564102564102564
k20,List items for sale,0.0810810810810811,0.06970128022759603,0.0810810810810811,0.0810810810810811,0.06699857752489333
k20,Photo effects,0.05263157894736842,0.039136302294197026,0.05263157894736842,0.0810810810810811,0.048412924202397886
k20,Play games,0.02564102564102564,0.002564102564102564,0.02564102564102564,0.007827260458839405,0.0
k20,Play playlist on shuffle mode,0.17687802393684748,0.07216377742693532,0.17647058823529413,0.17647058823529413,0.05489816016131806
k20,Rate movies,0.002564102564102564,0.0,0.0,0.017948717948717947,0.0
k20,Search for offer on item,0.010526315789473684,0.005263157894736842,0.0,0.0,0.03151147098515519
k20,Send files,0.16463712757830404,0.18334130646393454,0.12739495798319328,0.13087089381207032,0.10208683473389354
k20,Watch streams,0.08424213687371582,0.08185918712234501,0.10227370227370228,0.11111111111111112,0.042127147390305285
k20,Write notes,0.09326469326469326,0.14365079365079364,0.14327731092436974,0.12698412698412698,0.11379310344827587
k20,,,,,,
k20,AVERAGE,0.09100211184770009,0.08006292281033164,0.09590391124507319,0.08796124802897248,0.06313703564063872
