,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.07017543859649122,0.2380718954248366,0.05263157894736842,0.17647058823529413,0.05263157894736842
Access to podcasts,0.18382352941176472,0.18382352941176472,0.23529411764705882,0.25,0.22794117647058823
Broadcast messages,0.0,0.0,0.0,0.0,0.0
Build photo collage,0.21751805985552117,0.10275197798417612,0.1985294117647059,0.21405228758169934,0.06618507051943583
Collaborate with others,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.12418300653594772
Go Live,0.17647058823529413,0.08187134502923976,0.16993464052287582,0.05263157894736842,0.08771929824561402
Keeping up with friends,0.07017543859649122,0.09484004127966976,0.0935672514619883,0.031578947368421054,0.05263157894736842
List items for sale,0.17647058823529413,0.11833505331957343,0.11764705882352941,0.11111111111111112,0.11111111111111112
Photo effects,0.05263157894736842,0.047368421052631574,0.05263157894736842,0.11111111111111112,0.042105263157894736
Play games,0.0,0.0,0.0,0.0,0.0
Play playlist on shuffle mode,0.3,0.11944444444444444,0.25,0.25,0.0763157894736842
Rate movies,0.0,0.0,0.0,0.03684210526315789,0.0
Search for offer on item,0.0,0.0,0.0,0.0,0.02631578947368421
Send files,0.1985294117647059,0.18562091503267975,0.1568627450980392,0.18382352941176472,0.11248710010319918
Watch streams,0.0,0.010526315789473684,0.0,0.11111111111111112,0.0
Write notes,0.1772875816993464,0.2678571428571429,0.25,0.25,0.25
,,,,,
AVERAGE,0.10838708290333676,0.09760138704604648,0.10551309339525283,0.11811521757825938,0.07685167268661851
