,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.0,0.0,0.0,0.0,0.0
Access to podcasts,0.5313653136531366,0.3022140221402214,0.5313653136531366,0.5313653136531366,0.5804428044280442
Broadcast messages,0.0,0.0,0.0,0.0,0.0
Build photo collage,0.13284132841328414,0.053136531365313655,0.2656826568265683,0.0,0.026568265682656828
Collaborate with others,0.2656826568265683,0.3025830258302583,0.6346863468634687,0.2656826568265683,0.2656826568265683
Go Live,0.09963099630996311,0.24907749077490776,0.2656826568265683,0.053136531365313655,0.10627306273062731
Keeping up with friends,0.23911439114391145,0.14612546125461257,0.09963099630996311,0.01992619926199262,0.0
List items for sale,0.09963099630996311,0.03985239852398524,0.0,0.0929889298892989,0.35535055350553507
Photo effects,0.0,0.0,0.0,0.00996309963099631,0.0
Play games,0.0,0.0,0.0,0.0,0.0
Play playlist on shuffle mode,0.6346863468634687,0.44428044280442797,0.6346863468634687,0.6346863468634687,0.06974169741697418
Rate movies,0.0,0.0,0.0,0.0863468634686347,0.0
Search for offer on item,0.0,0.0,0.0,0.0,0.0
Send files,0.0,0.0,0.15608856088560888,0.00996309963099631,0.053136531365313655
Watch streams,0.0,0.0,0.0,0.0,0.0
Write notes,0.07970479704797048,0.1793357933579336,0.2656826568265683,0.22250922509225096,0.0863468634686347
,,,,,
AVERAGE,0.13016605166051662,0.10728782287822877,0.17834409594095943,0.12041051660516607,0.09647140221402214
