,,anthropic,gemini,mistral,openai,perplexity
k3,Access to movies,0.0,0.0,0.0,0.0,0.0
k3,Access to podcasts,0.2,0.38,0.2,0.2,0.23000000000000004
k3,Broadcast messages,0.0,0.0,0.0,0.0,0.0
k3,Build photo collage,0.1,0.04,0.2,0.0,0.02
k3,Collaborate with others,0.0,0.0,0.0,0.0,0.0
k3,Go Live,0.0,0.0,0.0,0.0,0.0
k3,Keeping up with friends,0.0,0.0,0.0,0.0,0.0
k3,List items for sale,0.18,0.0,0.0,0.05,0.2
k3,Photo effects,0.0,0.0,0.0,0.0,0.0
k3,Play games,0.0,0.0,0.2,0.0,0.0
k3,Play playlist on shuffle mode,0.5,0.35,0.5,0.2,0.13999999999999999
k3,Rate movies,0.5,0.55,0.5,0.2,0.2
k3,Search for offer on item,0.2,0.02,0.2,0.02,0.0
k3,Send files,0.0,0.0,0.0,0.0,0.0
k3,Watch streams,0.2,0.02,0.2,0.02,0.0
k3,Write notes,0.0,0.12,0.0,0.1,0.0
k3,,,,,,
k3,AVERAGE,0.11750000000000001,0.0925,0.125,0.049375,0.049375
k10,Access to movies,0.07017543859649122,0.13140694874441003,0.05263157894736842,0.11111111111111112,0.05263157894736842
k10,Access to podcasts,0.18051470588235294,0.25875,0.11764705882352941,0.17352941176470588,0.14636437908496733
k10,Broadcast messages,0.17647058823529413,0.03216374269005848,0.08187134502923976,0.05263157894736842,0.005263157894736842
k10,Build photo collage,0.11833505331957343,0.04327485380116959,0.12418300653594772,0.12418300653594772,0.06491228070175437
k10,Collaborate with others,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
k10,Go Live,0.0,0.06023391812865497,0.09415204678362574,0.08771929824561404,0.05263157894736842
k10,Keeping up with friends,0.0,0.005263157894736842,0.0,0.0,0.09941520467836258
k10,List items for sale,0.11764705882352941,0.13336773305813554,0.09941520467836258,0.1503267973856209,0.05263157894736842
k10,Photo effects,0.05555555555555556,0.016666666666666666,0.0,0.04444444444444444,0.05427350427350428
k10,Play games,0.10526315789473684,0.04327485380116959,0.11179910560715514,0.0,0.09494324045407636
k10,Play playlist on shuffle mode,0.17647058823529413,0.0973856209150327,0.17647058823529413,0.17647058823529413,0.06160990712074303
k10,Rate movies,0.1503267973856209,0.16993464052287582,0.11111111111111112,0.17647058823529413,0.13071895424836602
k10,Search for offer on item,0.05847953216374269,0.03684210526315789,0.05263157894736842,0.031578947368421054,0.0
k10,Send files,0.3,0.2593137254901961,0.11111111111111112,0.19117647058823534,0.10079119367045061
k10,Watch streams,0.1911764705882353,0.08533711730306157,0.19117647058823534,0.11764705882352941,0.047368421052631574
k10,Write notes,0.1772875816993464,0.25,0.25,0.25,0.25
k10,,,,,,
k10,AVERAGE,0.12064588170794635,0.10474041645166839,0.10167698658410733,0.1120345287237702,0.07913665993556668
k20,Access to movies,0.09571428571428572,0.09899159663865546,0.07162162162162163,0.1208403361344538,0.13975044563279856
k20,Access to podcasts,0.14633004926108376,0.21382783882783882,0.24643833943833943,0.16258620689655173,0.11236135388526935
k20,Broadcast messages,0.20523438741458766,0.020168067226890758,0.1579032258064516,0.02857142857142857,0.07185828877005349
k20,Build photo collage,0.14418314418314418,0.08814604077761974,0.14362108479755537,0.173109243697479,0.08654069158606364
k20,Collaborate with others,0.049932523616734135,0.02564102564102564,0.03643724696356275,0.05263157894736842,0.03913630229419703
k20,Go Live,0.06401137980085347,0.09655809655809655,0.11587824646648177,0.11111111111111112,0.0840840840840841
k20,Keeping up with friends,0.0,0.01637426900584795,0.0,0.0446693657219973,0.13350493350493348
k20,List items for sale,0.11139784946236557,0.12992955135335557,0.1296774193548387,0.13333333333333333,0.12268817204301075
k20,Photo effects,0.08970588235294119,0.11137254901960784,0.05990990990990991,0.14705882352941174,0.11067298856301414
k20,Play games,0.2002840909090909,0.09418723315008144,0.21136363636363636,0.0,0.14807056913674563
k20,Play playlist on shuffle mode,0.21969696969696972,0.1066409478174184,0.25,0.25,0.10694729247360826
k20,Rate movies,0.0815552394499763,0.08424213687371582,0.05547652916073968,0.1021021021021021,0.09057779584095374
k20,Search for offer on item,0.048326612903225805,0.034576612903225806,0.03125,0.025,0.02560483870967742
k20,Send files,0.2270894428152493,0.1979812834224599,0.10864145658263305,0.18942179144385027,0.17243936210847977
k20,Watch streams,0.25070197947214073,0.1552179322970398,0.25494646829810896,0.1567652141501762,0.130672268907563
k20,Write notes,0.11428571428571428,0.17700534759358288,0.14663865546218485,0.14285714285714285,0.1423645320197044
k20,,,,,,
k20,AVERAGE,0.12802809695864767,0.1031787830691539,0.12623774001412902,0.1150036049060254,0.1073296199725098
