,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.07017543859649122,0.13140694874441003,0.05263157894736842,0.11111111111111112,0.05263157894736842
Access to podcasts,0.18051470588235294,0.25875,0.11764705882352941,0.17352941176470588,0.14636437908496733
Broadcast messages,0.17647058823529413,0.03216374269005848,0.08187134502923976,0.05263157894736842,0.005263157894736842
Build photo collage,0.11833505331957343,0.04327485380116959,0.12418300653594772,0.12418300653594772,0.06491228070175437
Collaborate with others,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
Go Live,0.0,0.06023391812865497,0.09415204678362574,0.08771929824561404,0.05263157894736842
Keeping up with friends,0.0,0.005263157894736842,0.0,0.0,0.09941520467836258
List items for sale,0.11764705882352941,0.13336773305813554,0.09941520467836258,0.1503267973856209,0.05263157894736842
Photo effects,0.05555555555555556,0.016666666666666666,0.0,0.04444444444444444,0.05427350427350428
Play games,0.10526315789473684,0.04327485380116959,0.11179910560715514,0.0,0.09494324045407636
Play playlist on shuffle mode,0.17647058823529413,0.0973856209150327,0.17647058823529413,0.17647058823529413,0.06160990712074303
Rate movies,0.1503267973856209,0.16993464052287582,0.11111111111111112,0.17647058823529413,0.13071895424836602
Search for offer on item,0.05847953216374269,0.03684210526315789,0.05263157894736842,0.031578947368421054,0.0
Send files,0.3,0.2593137254901961,0.11111111111111112,0.19117647058823534,0.10079119367045061
Watch streams,0.1911764705882353,0.08533711730306157,0.19117647058823534,0.11764705882352941,0.047368421052631574
Write notes,0.1772875816993464,0.25,0.25,0.25,0.25
,,,,,
AVERAGE,0.12064588170794635,0.10474041645166839,0.10167698658410733,0.1120345287237702,0.07913665993556668
