,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.10577058788914821,0.13951635733567266,0.10671675476157719,0.13860167004395713,0.1240776482056418
Access to podcasts,0.2915085123480097,0.37926186019567504,0.28011586079023554,0.3158730153500146,0.24548259847806256
Broadcast messages,0.14189553723963577,0.027321587070992925,0.09851105061678501,0.05479852509625518,0.03426203363973025
Build photo collage,0.15806996212875674,0.05445505615169305,0.18107585864056228,0.15528671907766195,0.05759868225975913
Collaborate with others,0.07196160800934048,0.06973665267286676,0.07141335456064098,0.09975568583796339,0.07382577760814871
Go Live,0.00897691182011048,0.041074884886082984,0.08382220362719986,0.052668570605225076,0.027296860132513857
Keeping up with friends,0.0,0.008721825947505831,0.0,0.01745834108165086,0.12513299345034412
List items for sale,0.19906192719135357,0.15983458976830883,0.08701292086971624,0.16110657725447824,0.18631965879395535
Photo effects,0.09234028378998704,0.04828659777784976,0.023254521081175778,0.06089222910930301,0.06894865208380949
Play games,0.11582529897037286,0.06445442425028682,0.3657929457932626,0.0,0.1374951884105711
Play playlist on shuffle mode,0.34146142328619333,0.2205847866410621,0.3514235025715574,0.2768778331952674,0.11726098961554624
Rate movies,0.37436669293445857,0.4077544840867149,0.34506499494066345,0.41625873599712293,0.20445973619975666
Search for offer on item,0.17132383897794545,0.04222228955433314,0.12122094010254654,0.025657310897857544,0.00915248907145878
Send files,0.2601367491969475,0.2482242347710281,0.09086659530283996,0.18807539611984347,0.1358501217399915
Watch streams,0.3078997806109349,0.08643739589557956,0.3033476529773068,0.12664063976099577,0.04194984601841313
Write notes,0.13017099822934436,0.22893472098629264,0.21251425866042822,0.22246499628975447,0.17348002311102012
,,,,,
AVERAGE,0.17317313203890872,0.13917635924949656,0.1701345884560311,0.14452601535733445,0.11016208117617017
